"","Dept","CF8pm","CF6pm","Mask_transp","Mask_Closed","Mask_business","NSE","Lockdown","ICU_adm","ICU_adm_conso","Hospit","R.t.Mean"
"21140",21,0,0,1,1,1,0,0,9,0.010526316,31,0.856088827
"21141",22,0,0,1,1,1,0,0,4,0.004678363,14,0.88590401
"21142",23,0,0,1,1,1,0,0,2,0.002339181,4,1.075762456
"21143",24,0,0,1,1,1,0,0,3,0.003508772,18,1.016993235
"21144",25,0,0,1,1,1,0,0,6,0.007017544,12,1.008789799
"21145",26,0,0,1,1,1,0,0,7,0.008187135,38,1.382527135
"21146",27,0,0,1,1,1,0,0,15,0.01754386,62,1.092402952
"21147",28,0,0,1,1,1,0,0,2,0.002339181,25,0.968760605
"21148",29,0,0,1,1,1,0,0,3,0.003508772,25,0.930260841
"21149",30,0,0,1,1,1,0,0,23,0.026900585,84,1.241744571
"21150",31,0,0,1,1,1,0,0,33,0.038596491,140,0.948705617
"21151",32,0,0,1,1,1,0,0,1,0.001169591,12,1.320305147
"21152",33,0,0,1,1,1,0,0,31,0.03625731,182,0.874692468
"21153",34,0,0,1,1,1,0,0,38,0.044444444,113,1.548693128
"21154",35,0,0,1,1,1,0,0,6,0.007017544,69,0.892844267
"21155",36,0,0,1,1,1,0,0,4,0.004678363,12,1.192909928
"21156",37,0,0,1,1,1,0,0,7,0.008187135,36,0.966327255
"21157",38,0,0,1,1,1,0,0,25,0.029239766,159,1.243807194
"21158",39,0,0,1,1,1,0,0,1,0.001169591,11,1.067615482
"21159",40,0,0,1,1,1,0,0,5,0.005847953,17,1.185779536
"21160",41,0,0,1,1,1,0,0,1,0.001169591,14,1.371238765
"21161",42,0,0,1,1,1,0,0,36,0.042105263,181,1.118909617
"21162",43,0,0,1,1,1,0,0,0,0,10,1.094424132
"21163",44,0,0,1,1,1,0,0,8,0.009356725,71,1.357828404
"21164",45,0,0,1,1,1,0,0,12,0.014035088,45,1.34017764
"21165",46,0,0,1,1,1,0,0,1,0.001169591,5,1.251955932
"21166",47,0,0,1,1,1,0,0,5,0.005847953,22,1.316998772
"21167",48,0,0,1,1,1,0,0,0,0,6,1.061124444
"21168",49,0,0,1,1,1,0,0,6,0.007017544,55,0.997080421
"21169",50,0,0,1,1,1,0,0,2,0.002339181,15,0.758730877
"21170",51,0,0,1,1,1,0,0,8,0.009356725,38,1.040833764
"21171",52,0,0,1,1,1,0,0,1,0.001169591,10,1.063429693
"21172",53,0,0,1,1,1,0,0,0,0,9,1.209143177
"21173",54,0,0,1,1,1,0,0,2,0.002339181,44,1.359278755
"21174",55,0,0,1,1,1,0,0,0,0,12,1.206210841
"21175",56,0,0,1,1,1,0,0,5,0.005847953,77,1.40728683
"21176",57,0,0,1,1,1,0,0,8,0.009356725,48,1.532351723
"21177",58,0,0,1,1,1,0,0,2,0.002339181,7,0.761920837
"21178",59,0,0,1,1,1,0,0,74,0.086549708,381,1.179198267
"21179",60,0,0,1,1,1,0,0,14,0.016374269,102,1.040869418
"21180",61,0,0,1,1,1,0,0,4,0.004678363,22,1.096460422
"21181",62,0,0,1,1,1,0,0,24,0.028070175,149,0.969572717
"21182",63,0,0,1,1,1,0,0,7,0.008187135,51,1.126849801
"21183",64,0,0,1,1,1,0,0,8,0.009356725,51,1.186029035
"21184",65,0,0,1,1,1,0,0,4,0.004678363,12,1.271945105
"21185",66,0,0,1,1,1,0,0,3,0.003508772,20,1.1432504
"21186",67,0,0,1,1,1,0,0,14,0.016374269,50,0.577392035
"21187",68,0,0,1,1,1,0,0,3,0.003508772,32,0.92978845
"21188",69,0,0,1,1,1,0,0,79,0.092397661,399,0.943563879
"21189",70,0,0,1,1,1,0,0,0,0,7,1.37824439
"21190",71,0,0,1,1,1,0,0,6,0.007017544,51,0.970494146
"21191",72,0,0,1,1,1,0,0,2,0.002339181,48,2.094154074
"21192",73,0,0,1,1,1,0,0,4,0.004678363,21,1.339085739
"21193",74,0,0,1,1,1,0,0,2,0.002339181,39,1.067309056
"21194",75,0,0,1,1,1,0,0,127,0.148538012,518,1.550278103
"21195",76,0,0,1,1,1,0,0,25,0.029239766,150,1.086183174
"21196",77,0,0,1,1,1,0,0,38,0.044444444,163,1.11342146
"21197",78,0,0,1,1,1,0,0,28,0.032748538,243,1.053877544
"21198",79,0,0,1,1,1,0,0,1,0.001169591,9,1.024440328
"21199",80,0,0,1,1,1,0,0,14,0.016374269,68,1.038468926
"21200",81,0,0,1,1,1,0,0,11,0.012865497,44,1.706644654
"21201",82,0,0,1,1,1,0,0,7,0.008187135,23,0.926472548
"21202",83,0,0,1,1,1,0,0,13,0.015204678,62,1.211045699
"21203",84,0,0,1,1,1,0,0,12,0.014035088,78,1.156806948
"21204",85,0,0,1,1,1,0,0,4,0.004678363,15,1.039492323
"21205",86,0,0,1,1,1,0,0,1,0.001169591,3,0.980218315
"21206",87,0,0,1,1,1,0,0,5,0.005847953,29,1.009271936
"21207",88,0,0,1,1,1,0,0,1,0.001169591,3,0.643051016
"21208",89,0,0,1,1,1,0,0,3,0.003508772,15,0.941424388
"21209",90,0,0,1,1,1,0,0,3,0.003508772,8,1.230472715
"21210",91,0,0,1,1,1,0,0,47,0.05497076,194,1.038311487
"21211",92,0,0,1,1,1,0,0,65,0.076023392,362,1.111705281
"21212",93,0,0,1,1,1,0,0,58,0.067836257,449,1.083890918
"21213",94,0,0,1,1,1,0,0,58,0.067836257,375,1.133579696
"21214",95,0,0,1,1,1,0,0,32,0.037426901,189,1.089603437
"21215",201,0,0,1,1,1,0,0,7,0.008187135,9,1.148790676
"21216",202,0,0,1,1,1,0,0,7,0.008187135,18,1.118082562
"21217",1,0,0,1,1,1,0,0,9,0.010526316,40,1.253512262
"21218",2,0,0,1,1,1,0,0,5,0.005847953,50,1.26503947
